window_start,Ion,Concentration,Stream
1988-01-01,k_mgl,NA,PRM
1988-01-01,mg_mgl,NA,PRM
1988-01-01,nh4_ugl,NA,PRM
1988-01-01,no3_ugl,NA,PRM
1988-01-01,ca_mgl,NA,PRM
1988-03-04,k_mgl,NA,PRM
1988-03-04,mg_mgl,NA,PRM
1988-03-04,nh4_ugl,NA,PRM
1988-03-04,no3_ugl,NA,PRM
1988-03-04,ca_mgl,NA,PRM
1988-05-06,k_mgl,NA,PRM
1988-05-06,mg_mgl,NA,PRM
1988-05-06,nh4_ugl,NA,PRM
1988-05-06,no3_ugl,NA,PRM
1988-05-06,ca_mgl,NA,PRM
1988-07-08,k_mgl,NA,PRM
1988-07-08,mg_mgl,NA,PRM
1988-07-08,nh4_ugl,NA,PRM
1988-07-08,no3_ugl,NA,PRM
1988-07-08,ca_mgl,NA,PRM
1988-09-09,k_mgl,NA,PRM
1988-09-09,mg_mgl,NA,PRM
1988-09-09,nh4_ugl,NA,PRM
1988-09-09,no3_ugl,NA,PRM
1988-09-09,ca_mgl,NA,PRM
1988-11-11,k_mgl,NA,PRM
1988-11-11,mg_mgl,NA,PRM
1988-11-11,nh4_ugl,NA,PRM
1988-11-11,no3_ugl,NA,PRM
1988-11-11,ca_mgl,NA,PRM
1989-01-13,k_mgl,NA,PRM
1989-01-13,mg_mgl,NA,PRM
1989-01-13,nh4_ugl,NA,PRM
1989-01-13,no3_ugl,NA,PRM
1989-01-13,ca_mgl,NA,PRM
1989-03-17,k_mgl,0.77,PRM
1989-03-17,mg_mgl,1.92,PRM
1989-03-17,nh4_ugl,NA,PRM
1989-03-17,no3_ugl,69,PRM
1989-03-17,ca_mgl,6.15,PRM
1989-05-19,k_mgl,0.675,PRM
1989-05-19,mg_mgl,1.965,PRM
1989-05-19,nh4_ugl,NA,PRM
1989-05-19,no3_ugl,58.285714285714285,PRM
1989-05-19,ca_mgl,6.525,PRM
1989-07-21,k_mgl,0.6614285714285714,PRM
1989-07-21,mg_mgl,1.5783333333333334,PRM
1989-07-21,nh4_ugl,NA,PRM
1989-07-21,no3_ugl,73.71428571428571,PRM
1989-07-21,ca_mgl,6.252857142857143,PRM
1989-09-22,k_mgl,1.21,PRM
1989-09-22,mg_mgl,2.194,PRM
1989-09-22,nh4_ugl,NA,PRM
1989-09-22,no3_ugl,263.5,PRM
1989-09-22,ca_mgl,6.906,PRM
1989-11-24,k_mgl,0.9,PRM
1989-11-24,mg_mgl,2.5187500000000003,PRM
1989-11-24,nh4_ugl,NA,PRM
1989-11-24,no3_ugl,85.85714285714286,PRM
1989-11-24,ca_mgl,9.15375,PRM
1990-01-26,k_mgl,1.0855555555555556,PRM
1990-01-26,mg_mgl,2.048888888888889,PRM
1990-01-26,nh4_ugl,NA,PRM
1990-01-26,no3_ugl,243.88888888888889,PRM
1990-01-26,ca_mgl,8.305,PRM
1990-03-30,k_mgl,0.9944444444444445,PRM
1990-03-30,mg_mgl,2.207777777777778,PRM
1990-03-30,nh4_ugl,NA,PRM
1990-03-30,no3_ugl,130.11111111111111,PRM
1990-03-30,ca_mgl,9.503333333333334,PRM
1990-06-01,k_mgl,0.9299999999999999,PRM
1990-06-01,mg_mgl,2.0355555555555553,PRM
1990-06-01,nh4_ugl,NA,PRM
1990-06-01,no3_ugl,175.66666666666666,PRM
1990-06-01,ca_mgl,8.523333333333333,PRM
1990-08-03,k_mgl,0.8422222222222222,PRM
1990-08-03,mg_mgl,2.1055555555555556,PRM
1990-08-03,nh4_ugl,NA,PRM
1990-08-03,no3_ugl,128.88888888888889,PRM
